What is the largest planet in the solar system?,Venus,Neptune,Jupiter,Mercury,3
Which planet is known as the red planet?,Mars,Mercury,Pluto,Uranus,1
Which of these is a moon of Jupiter?,Phobos,Io,Titan,The Moon,2
How much time does sun rays take to reach Earth?,10 mins,6 mins,13 mins,8 mins,4
Which is the hottest planet in the solar system?,Mercury,Venus,Saturn,Mars,2
When was the first man made object sent into space?,1957,1962,1960,1955,1
When was Pluto reclassified from a planet to a dwarf planet?,2006,2004,2003,2007,1
What planet is the closest size to Earth?,Mars,Venus,Saturn,Neptune,2
What is the brightest planet in the night sky?,Neptune,Venus,Saturn,Mars,2
The moon Titan orbits which planet?,Mars,Uranus,Mercury,Saturn,3
